date,Latitude,Longitude,Temperature
2016-04-21 18:18:03,34.584301,113.764000,23.200
2016-04-22 00:21:35,34.554798,113.858002,20.200
2016-04-22 06:18:53,34.584301,113.764000,36.200
2016-04-22 06:19:07,34.548302,113.845001,36.300
2016-04-22 06:19:09,34.548302,113.845001,36.300
2016-04-22 12:18:37,33.577702,114.292999,24.500
2016-04-22 18:18:43,33.034199,117.089996,20.700
2016-04-22 18:20:07,33.033901,117.116997,20.900
2016-04-23 00:19:59,31.914600,119.809998,18.400
2016-04-23 06:19:07,31.252199,121.210999,15.500
2016-04-23 06:19:16,31.252199,121.210999,15.500
2016-04-23 06:19:39,31.252199,121.210999,15.600
2016-04-23 06:20:06,31.252199,121.210999,15.600
2016-04-23 06:20:25,31.252199,121.210999,15.700
2016-04-23 06:20:48,31.252199,121.210999,15.800
2016-04-23 06:36:23,31.252199,121.210999,15.300
2016-04-23 12:19:32,31.354401,121.392998,15.100
2016-04-23 18:19:25,31.354700,121.391998,15.500
2016-04-23 18:19:31,31.354700,121.391998,15.500
2016-04-24 00:19:07,31.354401,121.392998,16.500
2016-04-24 06:19:27,31.354700,121.391998,20.700
2016-04-24 06:19:50,31.354700,121.391998,20.800
2016-04-24 12:19:55,31.354500,121.392998,17.700
2016-04-24 18:18:37,31.373501,121.572998,15.100
2016-04-24 18:19:08,31.373501,121.572998,15.200
2016-04-25 00:18:37,31.372601,121.572998,15.600
2016-04-25 06:19:07,31.286800,121.591003,18.200
2016-04-25 06:19:26,31.372601,121.571999,18.300
2016-04-25 06:19:44,31.372601,121.571999,18.400
2016-04-25 12:18:37,31.372400,121.571999,16.700
2016-04-25 18:19:01,31.372400,121.571999,16.400
2016-04-25 18:19:09,31.372400,121.571999,16.400
2016-04-25 18:19:34,31.372400,121.571999,16.500
2016-04-26 00:18:37,31.372200,121.571999,16.400
2016-04-26 06:18:53,31.372499,121.571999,16.500
2016-04-26 06:19:03,31.372499,121.571999,16.500
2016-04-26 06:19:21,31.372499,121.571999,16.500
2016-04-26 06:19:39,31.372499,121.571999,16.600
2016-04-26 12:18:55,31.372400,121.572998,16.000
2016-04-26 18:19:05,31.372601,121.571999,15.600
2016-04-26 18:19:10,31.372601,121.571999,15.700
2016-04-27 00:19:01,31.372400,121.571999,14.600
2016-04-27 06:19:01,31.372700,121.572998,15.400
2016-04-27 06:19:35,31.372700,121.572998,15.500
2016-04-27 12:19:25,31.372499,121.572998,16.000
2016-04-27 18:19:20,31.376101,121.577003,15.300
2016-04-27 18:19:24,31.376101,121.577003,15.300
2016-04-28 00:19:07,31.138399,122.957001,16.400
2016-04-28 06:20:01,31.725800,124.584000,16.700
2016-04-28 12:19:30,32.256001,126.192001,14.900
2016-04-28 18:19:01,33.162102,127.389999,16.300
2016-04-29 00:19:01,34.417500,128.003998,15.400
2016-04-29 06:19:25,34.902699,127.669998,20.700
2016-04-29 06:19:39,34.902699,127.669998,20.700
2016-04-29 06:20:05,34.902699,127.669998,20.800
2016-04-29 12:19:37,34.438599,128.518005,16.700
2016-04-29 18:19:07,35.069801,128.820999,16.000
2016-04-29 18:19:57,35.069801,128.820999,16.200
2016-04-29 18:20:18,35.069801,128.820999,16.200
2016-04-30 00:20:01,35.070000,128.820999,16.200
2016-04-30 06:19:01,35.069599,128.820999,19.800
2016-04-30 06:19:49,35.069599,128.820999,19.900
2016-04-30 12:19:31,34.957901,128.807999,18.400
2016-04-30 18:19:31,35.728600,130.639999,17.200
2016-05-01 00:19:37,36.916599,132.494995,17.800
2016-05-01 06:20:01,38.107101,134.363007,14.500
2016-05-01 12:20:00,39.212700,136.326996,12.800
2016-05-01 18:20:01,40.290901,138.341003,11.900
2016-05-02 00:19:37,41.392300,140.445007,10.700
2016-05-02 06:20:07,41.746300,142.878006,9.200
2016-05-02 06:20:32,41.746300,142.878006,9.300
2016-05-02 12:20:07,42.449501,145.169998,6.800
2016-05-02 18:19:37,43.271801,147.352997,6.900
2016-05-03 00:19:55,44.106800,149.615005,6.000
2016-05-03 06:21:01,44.851101,152.014008,5.800
2016-05-03 12:19:07,45.553902,154.406998,4.400
2016-05-03 18:19:37,46.264702,156.843994,4.800
2016-05-04 00:19:37,46.970100,159.320999,3.800
2016-05-04 06:21:07,47.520699,161.908005,3.700
2016-05-04 12:20:08,48.006199,164.531998,2.200
2016-05-04 18:20:01,48.492901,167.210999,2.700
2016-05-05 00:20:07,48.992500,169.983002,4.000
2016-05-05 06:20:25,49.274799,172.792999,4.500
2016-05-05 12:19:56,49.554001,175.541000,4.300
2016-05-05 18:23:24,49.839199,178.399002,4.300
2016-05-06 00:19:55,49.917198,-178.753998,5.400
2016-05-06 06:20:30,49.727600,-175.897995,5.300
2016-05-06 12:20:31,49.542400,-173.087997,5.200
2016-05-06 18:22:05,49.354198,-170.307007,5.400
2016-05-07 00:20:55,49.167000,-167.507996,5.700
2016-05-07 06:20:31,48.952599,-164.878006,5.500
2016-05-07 12:21:56,48.424400,-162.057999,5.700
2016-05-07 18:21:55,47.889999,-159.311996,6.200
2016-05-08 00:21:07,47.362598,-156.613998,6.800
2016-05-08 06:20:37,46.806999,-153.957001,7.000
2016-05-08 12:20:55,46.271400,-151.317001,7.500
2016-05-08 18:21:01,45.544399,-148.778000,8.600
2016-05-09 00:21:07,44.651901,-146.395004,9.600
2016-05-09 06:21:07,43.754902,-144.061996,10.200
2016-05-09 12:19:38,42.864799,-141.761002,11.300
2016-05-09 18:21:25,41.964699,-139.470993,13.000
2016-05-10 00:20:37,41.074200,-137.242996,13.400
2016-05-10 06:22:01,40.152401,-134.975998,13.100
2016-05-10 12:20:55,39.059399,-132.944000,12.500
2016-05-10 18:20:52,37.968399,-130.962997,12.700
2016-05-11 00:21:07,36.857300,-128.996994,14.200
2016-05-11 06:20:25,35.766701,-127.051003,13.900
2016-05-11 12:20:56,35.008099,-124.915001,13.900
2016-05-11 18:20:53,34.666500,-122.594002,14.500
2016-05-12 00:20:38,34.358299,-120.697998,14.200
2016-05-12 06:20:03,33.890800,-118.963997,15.000
2016-05-12 06:20:25,33.890800,-118.963997,15.100
2016-05-12 06:21:12,33.890800,-118.963997,15.200
2016-05-12 06:21:47,33.890800,-118.963997,15.300
2016-05-12 06:22:54,33.890800,-118.963997,15.500
2016-05-12 12:19:38,33.727501,-118.259003,15.100
2016-05-12 18:19:55,33.727001,-118.259003,16.600
2016-05-12 18:20:12,33.727001,-118.259003,16.700
2016-05-12 18:20:18,33.727001,-118.259003,16.700
2016-05-12 18:20:47,33.727001,-118.259003,16.800
2016-05-13 00:20:07,33.726398,-118.258003,17.700
2016-05-13 06:19:37,33.727001,-118.259003,16.600
2016-05-13 06:20:04,33.727001,-118.259003,16.600
2016-05-13 06:20:33,33.727001,-118.259003,16.700
2016-05-13 12:20:25,33.728199,-118.260002,17.100
2016-05-13 18:20:12,33.749199,-118.264000,17.000
2016-05-13 18:20:33,33.749199,-118.264000,17.000
2016-05-13 18:20:35,33.727200,-118.259003,17.000
2016-05-14 00:19:55,33.722000,-118.258003,19.000
2016-05-14 06:20:10,33.722301,-118.258003,17.500
2016-05-14 06:20:15,33.722301,-118.258003,17.600
2016-05-14 06:20:38,33.722301,-118.258003,17.600
2016-05-14 06:20:59,33.722301,-118.258003,17.700
2016-05-14 12:19:39,33.722099,-118.258003,17.100
2016-05-14 18:20:06,33.729698,-118.292000,18.900
2016-05-14 18:20:22,33.731899,-118.269997,19.000
2016-05-14 18:20:25,33.721901,-118.258003,19.000
2016-05-14 18:20:26,33.721901,-118.258003,19.000
2016-05-14 18:20:49,33.721901,-118.258003,19.000
2016-05-15 00:20:38,33.722000,-118.258003,19.500
2016-05-15 06:19:55,33.721901,-118.258003,17.800
2016-05-15 06:20:50,33.721901,-118.258003,17.900
2016-05-15 12:20:07,33.722000,-118.258003,17.400
2016-05-15 18:20:08,33.721901,-118.258003,18.600
2016-05-15 18:20:49,33.721901,-118.258003,18.700
2016-05-15 18:21:13,33.721901,-118.258003,18.800
2016-05-16 00:20:07,33.722099,-118.258003,19.400
2016-05-16 06:20:39,33.783901,-118.291000,17.100
2016-05-16 06:21:07,33.783901,-118.291000,17.100
2016-05-16 06:21:35,33.722000,-118.258003,17.200
2016-05-16 06:30:13,33.722000,-118.258003,17.100
2016-05-16 06:30:35,33.722000,-118.258003,17.100
2016-05-16 12:20:25,33.722599,-118.255997,15.100
